地段位置或門牌,社區簡稱,交易日期,總價(萬元),"單價
(萬元/坪)","總面積
(坪)",主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,"車位總價
(萬元)",管理組織,電梯,主要用途,備註
士林區延平北路六段３９２巷６號七樓之８,,115/06/11,900,39.59,22.73,61.44%,住宅大樓(11層含以上有電梯),20,七層/十一層,房地(土地+建物)+車位,土:1 建:1車:1,1房1廳1衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;夾層;
士林區忠誠路一段４７號六樓,士林御花園,115/06/08,2918,87.59,33.31,75.19%,華廈(10層含以下有電梯),41,六層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,陽台加窗。陽台外推;其他增建;
士林區承德路四段２８８號七樓,金花園,115/06/02,2728,65,41.97,71.20%,住宅大樓(11層含以上有電梯),40,七層/十二層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,
士林區忠誠路一段５５號二樓,士林御花園,115/06/01,2650,78.91,33.58,69.70%,華廈(10層含以下有電梯),41,二層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,
士林區劍潭路１２號九樓之２,圓山凡登,115/05/31,1600,100.58,15.91,54.06%,住宅大樓(11層含以上有電梯),17,九層/十四層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,有,有,住家用,
士林區東山路２５巷５１弄５號,,115/05/29,20000,0,132.53,,透天厝,56,全/二層,房地(土地+建物),土:2 建:1車:0,5房2廳5衛,,有,無,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區忠誠路二段９８巷７弄８號十二樓,,115/05/28,12200,127.09,96,58.44%,住宅大樓(11層含以上有電梯),2,十二層/十四層,房地(土地+建物)+車位,土:1 建:1車:2,3房2廳3衛,,有,有,住家用,
士林區延平北路八段９６巷４１號四樓,,115/05/27,680,30.64,22.19,93.80%,公寓(5樓含以下無電梯),57,四層/四層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住家用,
士林區天玉街２７巷２５號十樓,,115/05/27,3690,110.44,43.96,61.77%,住宅大樓(11層含以上有電梯),2,十層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,2房2廳1衛,300,有,有,住家用,
士林區士東路２６６巷３弄１１之１號地下,,115/05/24,500,19.43,25.73,100.00%,公寓(5樓含以下無電梯),46,地下層/五層,房地(土地+建物),土:5 建:1車:0,3房2廳1衛,,無,無,其他,親友、員工、共有人或其他特殊關係間之交易;含租約;
士林區福華路１９０號四樓,富林天母極品磺溪特區,115/05/24,5500,86.18,84.16,58.93%,住宅大樓(11層含以上有電梯),26,四層/十二層,房地(土地+建物)+車位,土:4 建:1車:2,3房2廳2衛,560,有,有,住家用,
士林區天母西路５０巷２０之２號六樓,天母強者薔薇華廈,115/05/24,6060,93.2,75.15,68.43%,住宅大樓(11層含以上有電梯),30,"六層,電梯樓梯間/十一層",房地(土地+建物)+車位,土:1 建:1車:1,2房2廳2衛,400,有,有,住家用,其他增建;
士林區明溪街３５巷３號三樓,,115/05/22,980,31.23,31.38,100.00%,公寓(5樓含以下無電梯),50,三層/四層,房地(土地+建物),土:1 建:1車:0,4房2廳1衛,,無,無,住家用,其他增建;
士林區中正路６５５巷８號十三樓,渼士林,115/05/22,1001.3,17.62,56.82,49.21%,住宅大樓(11層含以上有電梯),12,十三層/十五層,房地(土地+建物)+車位,土:1 建:1車:1,3房1廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區建業路１１巷１５號三樓,朵爾大廈,115/05/21,780,52.38,14.89,59.35%,華廈(10層含以下有電梯),8,三層/四層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區建業路１１巷１５之１號三樓,朵爾大廈,115/05/21,710,47.9,14.82,59.37%,華廈(10層含以下有電梯),8,三層/四層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區建業路１１巷１５之２號三樓,朵爾大廈,115/05/21,860,52.45,16.4,58.10%,華廈(10層含以下有電梯),8,三層/四層,房地(土地+建物),土:2 建:1車:0,2房2廳2衛,,有,有,住家用,親友、員工、共有人或其他特殊關係間之交易;
士林區福港街２３號四樓,,115/05/20,1580,73.36,21.54,93.68%,公寓(5樓含以下無電梯),53,四層/四層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,頂樓加蓋;
士林區福志路２５號四樓,,115/05/20,4250,114.99,44.76,57.04%,住宅大樓(11層含以上有電梯),1,四層/十四層,房地(土地+建物)+車位,土:1 建:1車:1,2房1廳2衛,310,有,有,住家用,
士林區中正路２１３巷１１號,,115/05/18,2550,107.06,23.82,75.72%,華廈(10層含以下有電梯),31,一層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,有,住家用,
士林區基河路１６之２號八樓之２,圓山窗外,115/05/17,1968,156.99,12.54,54.37%,住宅大樓(11層含以上有電梯),21,八層/十一層,房地(土地+建物),土:1 建:1車:0,1房2廳1衛,,有,有,辦公用,其他增建;
士林區文林路７６３號九樓之１,寶殿大廈,115/05/16,485,78.21,6.2,83.27%,住宅大樓(11層含以上有電梯),45,九層/十一層,房地(土地+建物),土:3 建:1車:0,1房1廳1衛,,有,有,住家用,
